"No.","Time","Source","Destination","Protocol","Length","Info"
"2","12:44:56.431534","152.66.159.50","109.70.100.248","TLSv1.2","602","Application Data"
"3","12:44:56.470624","2001:738:2001:407f:581f:1472:e875:7785","2603:1063:12::2fd","TLSv1.2","143","Application Data"
"4","12:44:56.518270","2603:1063:12::2fd","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.2","132","Application Data"
"6","12:44:56.534311","109.70.100.248","152.66.159.50","TLSv1.2","602","Application Data"
"22","12:44:56.648611","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:1361:101::2:7","TLSv1.2","1324","Ignored Unknown Record"
"23","12:44:56.648775","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:1361:101::2:7","TLSv1.2","1068","Ignored Unknown Record"
"70","12:44:56.990448","2001:738:2001:407f:581f:1472:e875:7785","2620:149:a41:280::1a","TLSv1.2","110","Application Data"
"74","12:44:57.031037","152.53.251.172","152.66.159.50","TLSv1.2","602","Application Data"
"108","12:44:57.140188","2a01:b740:1361:101::2:7","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.2","1144","Application Data"
"148","12:44:57.217975","152.66.159.50","31.192.108.181","TLSv1.2","251","Application Data"
"149","12:44:57.219163","152.66.159.50","31.192.108.181","TLSv1.2","414","Application Data"
"188","12:44:57.273044","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TCP","1324","53363  >  443 [ACK] Seq=1 Ack=1 Win=131264 Len=1238 TSval=2291954131 TSecr=2885997163 [TCP PDU reassembled in 189]"
"189","12:44:57.273052","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","389","Client Hello (SNI=metrics.icloud.com)"
"191","12:44:57.311430","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","1324","Server Hello, Change Cipher Spec, Application Data"
"193","12:44:57.311434","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","1132","Application Data, Application Data, Application Data"
"198","12:44:57.329813","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","166","Change Cipher Spec, Application Data"
"199","12:44:57.332055","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","441","Application Data"
"200","12:44:57.332215","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","449","Application Data"
"201","12:44:57.332273","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","611","Application Data"
"225","12:44:57.370769","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","389","Application Data"
"226","12:44:57.370771","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","389","Application Data"
"227","12:44:57.370772","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","148","Application Data"
"229","12:44:57.371801","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","117","Application Data"
"230","12:44:57.372610","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","117","Application Data"
"232","12:44:57.372614","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","312","Application Data"
"233","12:44:57.372616","2a01:b740:a41:480::4:8","2001:738:2001:407f:581f:1472:e875:7785","TLSv1.3","312","Application Data"
"236","12:44:57.376862","2001:738:2001:407f:581f:1472:e875:7785","2a01:b740:a41:480::4:8","TLSv1.3","144","Application Data"
