0,1,2,3,4,5,6,7,8,9,10,label
6056,946.085535006605,600.8710525111438,1494,42,0.004104119055482166,0.019376904576731382,0.3061426684280053,2.8405253283302065,39,1,reuters
12953,742.6998378753957,559.7395926344196,1514,42,0.002237434030726473,0.009620940259572256,0.0,12953.0,12953,12953,ebay
8488,1135.0074222431667,561.4789359286459,1494,42,0.003285686027332705,0.025965938172887042,0.20970782280867106,4.668866886688669,55,1,github
3590,1180.3774373259052,536.209535181033,1474,42,0.006216998050139276,0.04088634379773754,0.1746518105849582,5.218023255813954,49,1,github
10667,961.593043967376,503.5801275078639,1514,42,0.0018547826942908036,0.01020736375497187,0.0,10667.0,10667,10667,walmart
5233,704.9527995413721,620.4201016183813,1494,42,0.00784303363271546,0.03989035792111108,0.2503344162048538,3.5526137135098437,137,1,reuters
7613,706.2478654932353,558.527220129526,1514,42,0.0028249799027978456,0.012361531644168158,0.0,7613.0,7613,7613,ebay
9387,863.9978693938425,541.4204016686746,1514,42,0.0023672355385107066,0.011260681753682163,0.0,9387.0,9387,9387,ebay
6424,991.6567559153176,599.9128076105557,1474,42,0.006194689445828145,0.03369314703238244,0.2783312577833126,3.133658536585366,41,1,reuters
9432,953.0435750636133,503.0158669185119,1514,42,0.0015419611959287532,0.00910348925532973,0.0,9432.0,9432,9432,walmart
3714,1152.7452880990845,554.707329198849,1514,42,0.005528020732364028,0.036563759556368244,0.1782444803446419,4.854901960784313,46,1,github
16154,913.7236597746688,519.9366765341481,1514,42,0.0019694010152284266,0.009400996567897408,0.0,16154.0,16154,16154,walmart
4122,1118.3867054827754,577.9442855360372,1494,42,0.005961232168850073,0.03703549458645938,0.1957787481804949,4.371155885471898,123,1,github
4772,718.0463118189439,563.4511867873713,1514,42,0.005708384534786253,0.02122730943779772,0.0,4772.0,4772,4772,walmart
3429,830.3727034120735,626.6462892214357,1474,42,0.012277333041703122,0.05643061990969216,0.3642461358996792,2.495633187772926,24,1,reuters
5896,805.6618046132971,551.8693801010162,1514,42,0.004064193181818182,0.016574584132439805,0.0,5896.0,5896,5896,ebay
6217,692.2557503619109,543.0736098268383,1514,42,0.004430806980858935,0.01697376631388265,0.0,6217.0,6217,6217,ebay
3673,877.3060168799346,630.207101694038,1474,42,0.007959349033487613,0.0394349712150174,0.3495780016335421,2.4486666666666665,24,1,reuters
10600,916.9967924528302,523.6799553640458,1514,42,0.0022704530188679246,0.011943827615450757,0.0,10600.0,10600,10600,walmart
4056,1143.6812130177516,563.0073339565515,1474,42,0.005656086045364892,0.03927100593786135,0.19995069033530571,4.194415718717684,48,1,github
9752,1075.6288966365873,569.9402747066247,1474,42,0.002919590442986054,0.022226598676081108,0.24374487284659557,3.743570057581574,73,1,hackaday
27664,1155.883024869867,521.469355367041,1474,42,0.0010195041570271832,0.006693745662945333,0.20235685367264314,4.195329087048832,59,1,bloomberg
32050,1242.9662090483619,484.89189963742496,1494,42,0.001300870015600624,0.01800108432912037,0.0,32050.0,32050,32050,nytimes
26340,1238.5407365223994,486.9757884125134,1474,42,0.0008234271829916477,0.014865911682023144,0.0,26340.0,26340,26340,nytimes
28224,1205.1342120181405,486.67371910968734,1474,56,0.0006967532242063492,0.007371162900055666,0.1728670634920635,5.247071946458449,96,1,bloomberg
2326,790.3447979363715,642.0281008788995,1474,42,0.013497207652622526,0.05051390395361331,0.2880481513327601,3.4613095238095237,45,1,hackaday
4177,1094.0126885324396,577.8178188044366,1474,42,0.006709137419200382,0.037635990271912015,0.23677280344745033,3.900093370681606,34,1,hackaday
32880,1218.0740875912409,484.12518267874634,1474,42,0.0009429674574209246,0.012260817384740129,0.17019464720194646,5.383985590306206,72,1,bloomberg
22963,1254.8808518050778,473.07310668089144,1474,42,0.0008749834516395941,0.014453867184048997,0.0,22963.0,22963,22963,nytimes
33415,1267.287864731408,463.8657911658827,1474,42,0.0009617334430644919,0.014118686010696794,0.0,33415.0,33415,33415,nytimes
50055,1261.0356208171013,433.9669478505849,1494,56,0.00040276919388672463,0.006523719732685047,0.1306562780940965,7.1949115998275115,103,1,bloomberg
10528,1155.7021276595744,542.6012273605388,1474,42,0.0025678217135258357,0.018785661114022998,0.20887158054711247,4.284900284900285,56,1,hackaday
1381,798.0333091962347,649.449976427041,1474,42,0.021573203475742216,0.07050599721064518,0.34178131788559013,2.778672032193159,36,1,hackaday
30249,1222.0501504181957,473.8473171884292,1474,56,0.0005531232106846507,0.005255157261279752,0.16357565539356672,5.298476090383605,63,1,bloomberg
19809,1226.2224241506385,499.3129585358515,1474,42,0.0012020705234994193,0.017877908187198675,0.0,19809.0,19809,19809,nytimes
3715,889.3682368775236,620.9570367758037,1514,56,0.005729158277254375,0.022029459247451106,0.28048452220726783,3.236062717770035,35,1,medium
30960,1169.5192506459948,507.1133693730175,1474,42,0.0008191217377260982,0.010784782880664789,0.18045865633074937,4.593471810089021,63,1,washingtonpost
3394,883.8211549793754,625.1458753607635,1514,42,0.008098722746022392,0.05127504868564643,0.3626988803771361,3.1838649155722325,93,1,theguardian
3128,855.1796675191816,628.495921299754,1511,42,0.010950568734015346,0.05260336913908653,0.35038363171355497,3.2114989733059547,124,1,theguardian
7332,890.5518276050191,619.656851974371,1494,42,0.004251246863066012,0.026139863108461954,0.30523731587561376,2.79740557039298,37,1,washingtonpost
7512,1150.2309637912674,547.5017747256337,1494,42,0.0027749996006389776,0.016731363592618412,0.0,7512.0,7512,7512,bbc
1885,629.1708222811671,605.0967772280652,1474,42,0.021524136339522548,0.06282361325782006,0.4350132625994695,2.2387173396674585,16,1,medium
5367,1100.4028321222283,576.3014159117757,1494,54,0.004728107322526551,0.03416804929699823,0.0,5367.0,5367,5367,bbc
18244,966.2508221881167,491.65356739814763,1514,42,0.000989122177154133,0.005990621202170115,0.0,18244.0,18244,18244,etsy
9505,835.9444502893214,536.7711177916452,1514,42,0.0029507865334034715,0.0115376528938145,0.0,9505.0,9505,9505,etsy
4627,1067.797925221526,590.4906089815973,1494,42,0.00509948000864491,0.04159327265514072,0.0,4627.0,4627,4627,bbc
1333,682.7569392348087,622.5072451416108,1474,42,0.019092903975993995,0.05861770182872834,0.39309827456864216,2.676706827309237,17,1,medium
8498,1010.1489762297011,592.6419421280622,1494,42,0.003475074841139092,0.023128002286176813,0.2803012473523182,3.253445635528331,105,1,washingtonpost
4388,925.9145396536007,613.503697550402,1494,42,0.00754835642661805,0.04314439023319272,0.3261166818596171,3.262453531598513,85,1,theguardian
3646,980.647833241909,621.7440292511523,1474,42,0.006956920735052112,0.048345730226628456,0.3499725726823917,4.176403207331043,135,1,theguardian
15466,980.4645027802923,489.2829136853935,1514,42,0.0012647556575714472,0.008741629058816312,0.0,15466.0,15466,15466,etsy
6423,954.8689086096839,601.6496782167433,1474,54,0.004123993928070995,0.023240184207661423,0.3210337848357465,2.814636283961437,37,1,washingtonpost
2044,724.5464774951076,609.8457460255975,1474,42,0.013629025440313114,0.04889577316437301,0.4368884540117417,2.6238767650834403,47,1,medium
4420,861.9067873303168,636.9669453758519,1514,42,0.005601714932126697,0.024273619749823203,0.0,4420.0,4420,4420,bbc
5319,693.3636021808611,537.996465068922,1514,42,0.005410241586764429,0.020204659461467208,0.0,5319.0,5319,5319,etsy
4395,947.6125142207053,602.2754953230311,1494,42,0.003881501706484642,0.0205169055139352,0.34903299203640503,3.644278606965174,125,1,theguardian
6061,748.855634383765,539.4267488761407,1514,42,0.00332906979046362,0.015253499858629756,0.0,6061.0,6061,6061,etsy
8963,1053.097511993752,585.7610004574127,1474,42,0.003162516679683142,0.023310692684309492,0.2768046413031351,3.4314701378254213,62,1,washingtonpost
3351,1012.3014025663981,612.0820550642898,1474,54,0.006634078782452999,0.03606219720080747,0.0,3351.0,3351,3351,bbc
1277,608.523101018011,593.6653388142284,1474,42,0.02082021613155834,0.05988042066376535,0.48003132341425214,2.6275720164609053,56,1,medium
6142,998.9410615434712,596.976250131566,1474,42,0.0055351252035167695,0.029193719394884368,0.27710843373493976,3.2583554376657826,56,1,stackoverflow
9643,1083.0385772062637,342.9638161103511,1317,70,0.002865955304365861,0.021923140678794317,0.0,9643.0,9643,9643,cnn
2070,843.3623188405797,640.5634741204276,1482,42,0.016077462801932365,0.05620912747293721,0.30144927536231886,3.04860088365243,29,1,stackoverflow
4541,907.4723629156573,623.7014768408917,1494,42,0.004966520149746752,0.02644972281474319,0.31248623651178153,2.7554611650485437,70,1,stackoverflow
4360,1097.9422018348623,335.7594094929312,1324,74,0.006766095412844037,0.03692910365257518,0.0,4360.0,4360,4360,cnn
16941,1223.6351455049878,482.4877142663248,1474,42,0.0013892265509710172,0.010454268267086243,0.15943568856620033,5.459555269094425,52,1,amazon
4955,972.2885973763875,612.1361553736151,1494,56,0.003844158022199798,0.015251906360429168,0.34026236125126136,3.004851425106125,171,1,techcrunch
